row,col,model,formula,mse,rmse,mae,r2
2,9,指数函数,y = 111.663389 × e^(0.026742×x),69.724967,8.350148,6.623003,0.970449
2,9,3元多项式,y = 0.019886×x³ + -1.069049×x² + 20.711566×x + 47.423832,0.049583,0.222672,0.185481,0.999979
2,10,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,10,幂函数,y = 68.384438 × x^0.383021,2.854353,1.689483,1.448772,0.998790
2,10,对数函数,y = 16.190275 + 68.845680 × ln(x),7.580523,2.753275,2.333307,0.996787
2,10,指数函数,y = 111.716533 × e^(0.026540×x),69.585824,8.341812,6.619605,0.970508
2,10,3元多项式,y = 0.017430×x³ + -0.966300×x² + 19.742360×x + 49.719577,0.054282,0.232986,0.192210,0.999977
2,11,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,11,幂函数,y = 69.316516 × x^0.379114,3.014818,1.736323,1.492440,0.998722
2,11,对数函数,y = 18.569690 + 68.169049 × ln(x),7.326683,2.706785,2.287904,0.996895
2,11,指数函数,y = 112.064718 × e^(0.026442×x),70.659958,8.405948,6.670170,0.970053
2,11,3元多项式,y = 0.016513×x³ + -0.929772×x² + 19.442968×x + 51.434322,0.053783,0.231912,0.189049,0.999977
2,12,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,12,幂函数,y = 70.094837 × x^0.377247,3.022094,1.738417,1.498363,0.998719
2,12,对数函数,y = 20.580543 + 67.831818 × ln(x),7.366183,2.714071,2.290425,0.996878
2,12,指数函数,y = 112.227229 × e^(0.026728×x),71.033058,8.428111,6.688718,0.969895
2,12,3元多项式,y = 0.016891×x³ + -0.943033×x² + 19.585993×x + 52.212479,0.058112,0.241065,0.196391,0.999975
2,13,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,13,幂函数,y = 70.098771 × x^0.377147,2.994280,1.730399,1.494290,0.998731
2,13,对数函数,y = 20.606622 + 67.806006 × ln(x),7.475271,2.734094,2.306483,0.996832
2,13,指数函数,y = 112.234777 × e^(0.026707×x),71.012698,8.426903,6.688643,0.969903
2,13,3元多项式,y = 0.016082×x³ + -0.909486×x² + 19.292375×x + 52.898362,0.058493,0.241853,0.196226,0.999975
2,14,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,14,幂函数,y = 70.477895 × x^0.374712,3.082458,1.755693,1.516408,0.998694
2,14,对数函数,y = 21.552275 + 67.379729 × ln(x),7.381501,2.716892,2.288067,0.996872
2,14,指数函数,y = 112.450492 × e^(0.026432×x),71.670665,8.465853,6.718675,0.969624
2,14,3元多项式,y = 0.014575×x³ + -0.849775×x² + 18.773509×x + 54.354748,0.054158,0.232719,0.185574,0.999977
2,15,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,15,幂函数,y = 70.982224 × x^0.372522,3.189955,1.786044,1.541273,0.998648
2,15,对数函数,y = 22.800345 + 67.002312 × ln(x),7.217347,2.686512,2.260963,0.996941
2,15,指数函数,y = 112.645328 × e^(0.026345×x),72.306995,8.503352,6.747194,0.969355
2,15,3元多项式,y = 0.013907×x³ + -0.823990×x² + 18.579501×x + 55.277746,0.049419,0.222304,0.175138,0.999979
2,16,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,16,幂函数,y = 72.293729 × x^0.367689,3.637007,1.907094,1.637398,0.998459
2,16,对数函数,y = 25.938535 + 66.208960 × ln(x),6.365853,2.523064,2.116804,0.997302
2,16,指数函数,y = 113.082042 × e^(0.026329×x),74.032299,8.604202,6.823153,0.968623
2,16,3元多项式,y = 0.014817×x³ + -0.867518×x² + 19.082795×x + 55.380836,0.043751,0.209167,0.162895,0.999981
2,17,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,17,幂函数,y = 73.040697 × x^0.366238,3.888259,1.971867,1.682410,0.998352
2,17,对数函数,y = 27.694996 + 65.994480 × ln(x),5.797941,2.407891,2.025469,0.997543
2,17,指数函数,y = 113.217288 × e^(0.026667×x),74.717429,8.643924,6.850374,0.968333
2,17,3元多项式,y = 0.017658×x³ + -0.984419×x² + 20.161342×x + 53.892201,0.036658,0.191462,0.150318,0.999984
2,18,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,18,幂函数,y = 72.985001 × x^0.368050,3.829263,1.956850,1.661676,0.998377
2,18,对数函数,y = 27.560523 + 66.319662 × ln(x),5.742431,2.396337,2.028314,0.997566
2,18,指数函数,y = 113.058657 × e^(0.027112×x),74.237750,8.616133,6.826032,0.968536
2,18,3元多项式,y = 0.020666×x³ + -1.100913×x² + 21.141075×x + 51.946604,0.031363,0.177097,0.142581,0.999987
2,19,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,19,幂函数,y = 72.526074 × x^0.369916,3.798854,1.949065,1.643447,0.998390
2,19,对数函数,y = 26.418855 + 66.658579 × ln(x),5.647569,2.376461,2.024039,0.997606
2,19,指数函数,y = 112.895923 × e^(0.027164×x),73.783499,8.589732,6.801958,0.968729
2,19,3元多项式,y = 0.023087×x³ + -1.197046×x² + 21.914168×x + 49.744467,0.024573,0.156757,0.129348,0.999990
2,20,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,20,幂函数,y = 72.207695 × x^0.371117,3.881516,1.970156,1.653745,0.998355
2,20,对数函数,y = 25.587631 + 66.894310 × ln(x),5.387496,2.321098,1.981996,0.997717
2,20,指数函数,y = 112.793864 × e^(0.027171×x),73.604920,8.579331,6.790125,0.968804
2,20,3元多项式,y = 0.026576×x³ + -1.337888×x² + 23.075343×x + 46.761975,0.021055,0.145104,0.122004,0.999991
2,21,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,21,幂函数,y = 72.964409 × x^0.368058,4.350004,2.085666,1.753219,0.998156
2,21,对数函数,y = 27.320487 + 66.415675 × ln(x),4.611943,2.147544,1.829757,0.998045
2,21,指数函数,y = 113.073514 × e^(0.027079×x),74.835454,8.650749,6.840999,0.968283
2,21,3元多项式,y = 0.031559×x³ + -1.541080×x² + 24.762210×x + 43.821667,0.017532,0.132407,0.110833,0.999993
2,22,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,22,幂函数,y = 73.716274 × x^0.365638,4.782109,2.186803,1.836304,0.997973
2,22,对数函数,y = 29.049296 + 66.039512 × ln(x),4.013043,2.003258,1.703663,0.998299
2,22,指数函数,y = 113.295730 × e^(0.027154×x),75.886518,8.711287,6.884983,0.967838
2,22,3元多项式,y = 0.035586×x³ + -1.700422×x² + 26.072961×x + 41.884644,0.014859,0.121896,0.099140,0.999994
2,23,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,23,幂函数,y = 73.600904 × x^0.366140,4.772229,2.184543,1.833355,0.997977
2,23,对数函数,y = 28.768696 + 66.129054 × ln(x),4.017021,2.004251,1.705797,0.998297
2,23,指数函数,y = 113.251108 × e^(0.027178×x),75.723888,8.701947,6.876022,0.967906
2,23,3元多项式,y = 0.037178×x³ + -1.763125×x² + 26.569561×x + 40.695559,0.014083,0.118673,0.091053,0.999994
2,24,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,24,幂函数,y = 74.115921 × x^0.364747,4.975655,2.230618,1.870463,0.997891
2,24,对数函数,y = 29.974771 + 65.904395 × ln(x),3.765842,1.940578,1.649239,0.998404
2,24,指数函数,y = 113.376922 × e^(0.027304×x),76.252179,8.732249,6.897819,0.967683
2,24,3元多项式,y = 0.039821×x³ + -1.862886×x² + 27.349658×x + 39.779543,0.013114,0.114517,0.082781,0.999994
2,25,常数模型,y = 149.833333,2359.472222,48.574399,35.055556,0.000000
2,25,幂函数,y = 74.448204 × x^0.363435,5.224620,2.285743,1.915558,0.997786
